Место:		Уренгой
Скважина:	Скважина #1
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	НЕТ
Измерение:	2
Создано:	18-02-2021 21:15:37
Завершено:	18-02-2021 21:16:35

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
1	5.000		0.100		-67.958		-68.910		692.742		697.871		0.012		-0.062		0.063		0.000
2	10.000		0.100		-68.068		-68.886		693.389		697.663		0.021		-0.114		0.116		0.000
3	15.000		0.100		-68.194		-68.886		694.071		697.663		0.030		-0.158		0.160		0.000
4	20.000		0.100		-68.194		-68.886		694.071		697.663		0.038		-0.201		0.205		0.000
5	25.000		0.100		-68.330		-68.818		694.802		697.432		0.044		-0.233		0.237		0.000
6	30.000		0.100		-68.330		-68.818		694.802		697.432		0.050		-0.265		0.269		0.000
7	35.000		0.100		-68.473		-68.762		695.596		697.244		0.054		-0.285		0.290		0.000
8	40.000		0.100		-68.473		-68.762		695.596		697.244		0.057		-0.305		0.310		0.000
9	45.000		0.100		-68.610		-68.762		696.400		697.244		0.059		-0.315		0.320		0.000
10	50.000		0.100		-68.610		-68.745		696.400		697.186		0.061		-0.324		0.330		0.000
11	55.000		0.100		-68.725		-68.745		697.125		697.186		0.061		-0.325		0.331		0.000
12	60.000		0.100		-68.725		-68.730		697.125		697.200		0.061		-0.326		0.332		0.000
13	65.000		0.100		-68.817		-68.730		697.693		697.200		0.060		-0.320		0.326		0.000
14	70.000		0.100		-68.879		-68.695		697.983		697.168		0.058		-0.310		0.316		0.000
15	75.000		0.100		-68.885		-68.695		697.964		697.168		0.055		-0.301		0.306		0.000
16	80.000		0.100		-68.885		-68.695		697.964		697.168		0.053		-0.291		0.296		0.000
17	85.000		0.100		-68.842		-68.666		697.786		697.157		0.051		-0.283		0.288		0.000
18	90.000		0.100		-68.811		-68.666		697.660		697.157		0.049		-0.277		0.282		0.000
19	95.000		0.100		-68.811		-68.664		697.660		697.253		0.047		-0.272		0.276		0.000
20	100.000		0.100		-68.836		-68.667		697.752		697.387		0.045		-0.268		0.272		0.000
