Место:		Площадка 1
Скважина:	Скважина
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	НЕТ
Измерение:	2
Создано:	24-02-2021 20:32:25
Завершено:	24-02-2021 20:34:54

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		-171.043		-170.842		1273.040		1274.260		0.000		0.000		0.000		0.000
1	5.500		0.001		-171.043		-170.842		1273.040		1274.260		-0.003		-0.016		0.016		0.000
2	11.000		0.001		-171.043		-170.884		1273.040		1274.574		-0.005		-0.037		0.037		0.000
3	16.500		0.001		-171.009		-170.884		1272.876		1274.574		-0.006		-0.059		0.060		0.000
4	22.000		0.001		-171.009		-170.891		1272.876		1274.817		-0.008		-0.085		0.086		0.000
5	27.500		0.001		-171.009		-170.891		1272.876		1274.817		-0.010		-0.111		0.112		0.000
6	33.000		0.001		-170.939		-170.891		1272.702		1274.817		-0.010		-0.139		0.140		0.000
7	38.500		0.001		-170.939		-170.891		1272.702		1274.817		-0.011		-0.168		0.168		0.000
8	44.000		0.001		-170.891		-170.854		1272.756		1274.911		-0.011		-0.196		0.197		0.000
9	49.500		0.001		-170.891		-170.819		1272.756		1275.014		-0.012		-0.226		0.227		0.000
10	55.000		0.001		-170.891		-170.810		1272.756		1275.274		-0.013		-0.260		0.260		0.000
11	60.500		0.001		-170.891		-170.810		1272.756		1275.274		-0.015		-0.293		0.294		0.000
12	66.000		0.001		-170.895		-170.825		1273.146		1275.646		-0.015		-0.327		0.327		0.000
13	71.500		0.001		-170.895		-170.825		1273.146		1275.646		-0.016		-0.360		0.361		0.000
14	77.000		0.001		-170.895		-170.863		1273.146		1276.003		-0.017		-0.398		0.399		0.000
15	82.500		0.001		-170.933		-170.863		1273.651		1276.003		-0.018		-0.430		0.430		0.000
16	88.000		0.001		-170.933		-170.863		1273.651		1276.003		-0.019		-0.461		0.461		0.000
17	93.500		0.001		-170.933		-170.891		1273.651		1276.174		-0.019		-0.495		0.495		0.000
18	99.000		0.001		-170.948		-170.891		1273.993		1276.174		-0.020		-0.524		0.524		0.000
19	104.500		0.001		-170.948		-170.891		1273.993		1276.174		-0.021		-0.553		0.553		0.000
20	110.000		0.001		-170.948		-170.875		1273.993		1276.073		-0.022		-0.580		0.581		0.000
