Место:		тест 1
Скважина:	Скважина
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	ДА
Измерение:	2
Создано:	27-02-2021 14:06:48
Завершено:	31-03-2021 21:40:39

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		936.2		942.0		-1927.8		-1924.7		0.0		0.0		0.0		0.0
1	1.0		0.0		936.2		-1035.6		-1927.8		899.5		-0.0		0.0		-0.0		0.0
2	2.0		0.0		936.2		-1035.6		-1927.8		899.5		-0.0		0.0		-0.0		0.0
3	3.0		0.0		938.1		-1035.6		-1927.0		899.5		-0.0		0.0		-0.0		0.0
4	4.0		0.0		939.9		-1035.6		-1926.0		899.5		-0.0		0.0		-0.0		0.0
5	5.0		0.0		939.9		-1035.6		-1926.0		899.5		-0.0		0.0		-0.0		0.0
6	6.0		0.0		939.9		-1035.6		-1926.0		899.5		-0.0		0.0		-0.0		0.0
7	7.0		0.0		-1035.3		-1035.5		898.9		899.5		-0.0		0.0		-0.0		0.0
8	8.0		0.0		-1035.3		-1035.5		898.9		899.5		-9.6		0.0		-9.6		0.0
9	9.0		0.0		-1035.3		-1035.6		898.9		899.5		-19.2		0.0		-19.2		0.0
10	10.0		0.0		-1035.3		-1035.6		898.9		899.5		-28.8		0.0		-28.8		0.0
11	11.0		0.0		-1035.3		-1035.6		898.9		899.5		-38.3		0.0		-38.3		0.0
12	12.0		0.0		-1035.3		-1035.7		898.9		899.6		-47.9		0.0		-47.9		0.0
13	13.0		0.0		-1035.3		-1035.7		898.9		899.6		-57.5		0.0		-57.5		0.0
14	14.0		0.0		-1035.3		-1035.7		898.9		899.6		-67.0		0.0		-67.0		0.0
15	15.0		0.0		-1035.3		-1035.7		898.9		899.7		-76.6		0.0		-76.6		0.0
16	16.0		0.0		-1035.3		-1035.7		898.9		899.7		-86.2		0.0		-86.2		0.0
17	17.0		0.0		-1035.4		-1035.7		899.1		899.7		-95.8		0.0		-95.8		0.0
18	18.0		0.0		-1035.4		-1035.8		899.1		899.7		-105.3		0.0		-105.3		0.0
19	19.0		0.0		-1035.4		-1035.8		899.2		899.7		-114.9		0.0		-114.9		0.0
20	20.0		0.0		-1035.5		-1035.8		899.3		899.8		-124.5		0.0		-124.5		0.0
