Место:		Сургут
Скважина:	Скважина
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	ДА
Измерение:	1
Создано:	27-02-2021 13:55:20
Завершено:	31-03-2021 22:18:04

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-3132.0		-3192.7		0.0		0.0		0.0		0.0		0.0		0.0
1	0.0		0.0		-3261.8		0.0		867.5		868.2		0.0		0.0		0.0		0.0
2	0.0		0.0		-3282.9		0.0		867.4		868.2		0.0		0.0		0.0		0.0
3	3.0		0.0		-3284.1		0.0		867.4		868.2		-1.8		0.0		-1.8		0.0
4	4.0		0.0		-1017.3		0.0		867.5		868.2		-2.3		0.0		-2.3		0.0
5	5.0		0.0		-1017.3		0.0		867.6		868.2		8.1		0.0		8.1		0.0
6	6.0		0.0		-1017.3		-1017.2		867.6		868.2		18.5		0.0		18.5		0.0
7	7.0		0.0		-1017.3		-1017.2		867.6		868.1		28.9		0.0		28.9		0.0
8	8.0		0.0		-1017.3		-1017.2		867.7		868.1		39.3		0.0		39.3		0.0
9	9.0		0.0		-1017.3		-1017.2		867.7		868.1		49.7		0.0		49.7		0.0
10	10.5		0.0		-1017.3		-1017.2		867.7		868.1		65.3		0.0		65.3		0.0
11	11.0		0.0		-1017.3		-1017.2		867.7		868.1		70.5		0.0		70.5		0.0
12	12.0		0.0		-1017.3		-1017.2		867.8		868.1		80.9		0.0		80.9		0.0
13	13.0		0.0		-1017.3		-1017.2		867.8		868.1		91.3		0.0		91.3		0.0
14	14.0		0.0		-1017.3		-1017.2		867.8		868.1		101.6		0.0		101.6		0.0
15	15.0		0.0		-1017.3		-1017.2		867.9		868.1		112.0		0.0		112.0		0.0
16	16.0		0.0		-1017.3		-1017.2		867.9		868.1		122.4		0.0		122.4		0.0
17	17.0		0.0		-1017.2		-1017.2		868.0		868.1		132.8		0.0		132.8		0.0
18	18.0		0.0		-1017.2		-1017.2		868.0		868.1		143.2		0.0		143.2		0.0
19	19.0		0.0		-1017.2		-1017.2		868.0		868.1		153.6		0.0		153.6		0.0
20	20.0		0.0		-1017.2		-1039.5		868.0		904.0		164.0		0.0		164.0		0.0
