Место:		
Скважина:	
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	ДА
Измерение:	0
Создано:	30-12-1899 00:00:00
Завершено:	31-03-2021 22:19:52

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-3132.0		-3192.0		0.0		0.0		0.0		0.0		0.0		0.0
1	0.5		0.0		-3261.0		0.0		0.0		0.0		0.1		0.0		0.1		0.0
2	1.0		0.0		-3284.0		0.0		0.0		0.0		-0.2		0.0		-0.2		0.0
3	1.5		0.0		-3375.0		0.0		0.0		0.0		-0.5		0.0		-0.5		0.0
4	2.0		0.0		-3375.0		0.0		0.0		0.0		-1.0		0.0		-1.0		0.0
5	2.5		0.0		8.0		0.0		0.0		0.0		-1.5		0.0		-1.5		0.0
6	3.0		0.0		8.0		0.0		0.0		0.0		6.2		0.0		6.2		0.0
7	3.5		0.0		7.0		0.0		0.0		0.0		13.9		0.0		13.9		0.0
8	4.0		0.0		6.0		0.0		0.0		0.0		21.6		0.0		21.6		0.0
9	4.5		0.0		6.0		0.0		0.0		0.0		29.2		0.0		29.2		0.0
10	5.0		0.0		5.0		0.0		0.0		0.0		36.9		0.0		36.9		0.0
11	5.5		0.0		4.0		0.0		0.0		0.0		44.6		0.0		44.6		0.0
12	6.0		0.0		4.0		0.0		0.0		0.0		52.3		0.0		52.3		0.0
13	6.5		0.0		4.0		0.0		0.0		0.0		59.9		0.0		59.9		0.0
14	7.0		0.0		3.0		0.0		0.0		0.0		67.6		0.0		67.6		0.0
