Место:		Площадка
Скважина:	Скважина1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	27-02-2021 14:09:21
Завершено:	27-02-2021 14:09:42

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		-1080.594		-1080.344		969.570		968.797		0.000		0.000		0.000		0.000
1	1.000		0.000		-1080.594		-1080.344		969.570		968.797		-0.001		0.002		0.002		0.000
2	2.000		0.000		-1080.594		-1080.227		969.570		968.633		-0.001		0.004		0.004		0.000
3	3.000		0.000		-1080.688		-1080.227		969.648		968.633		-0.002		0.006		0.006		0.000
4	4.000		0.000		-1080.688		-1080.227		969.648		968.633		-0.003		0.008		0.009		0.000
5	5.000		0.000		-1080.688		-1080.172		969.648		968.617		-0.004		0.011		0.012		0.000
6	6.000		0.000		-1080.684		-1080.172		969.582		968.617		-0.006		0.013		0.015		0.000
7	7.000		0.000		-1080.684		-1080.176		969.582		968.699		-0.007		0.016		0.017		0.000
8	8.000		0.000		-1080.594		-1080.176		969.395		968.699		-0.008		0.018		0.020		0.000
9	9.000		0.000		-1080.594		-1080.176		969.395		968.699		-0.009		0.020		0.022		0.000
10	10.000		0.000		-1080.594		-1080.176		969.395		968.699		-0.010		0.021		0.024		0.000
11	11.000		0.000		-1080.594		-1080.215		969.395		968.859		-0.011		0.023		0.026		0.000
12	12.000		0.000		-1080.457		-1080.215		969.145		968.859		-0.012		0.024		0.027		0.000
13	13.000		0.000		-1080.457		-1080.215		969.145		968.859		-0.013		0.025		0.028		0.000
14	14.000		0.000		-1080.457		-1080.285		969.145		969.086		-0.013		0.026		0.029		0.000
15	15.000		0.000		-1080.363		-1080.285		968.957		969.086		-0.014		0.026		0.029		0.000
16	16.000		0.000		-1080.363		-1080.285		968.957		969.086		-0.014		0.025		0.029		0.000
17	17.000		0.000		-1080.363		-1080.383		968.957		969.309		-0.014		0.025		0.029		0.000
18	18.000		0.000		-1080.383		-1080.383		968.930		969.309		-0.014		0.024		0.028		0.000
19	19.000		0.000		-1080.383		-1080.383		968.930		969.309		-0.014		0.023		0.027		0.000
20	20.000		0.000		-1080.473		-1080.430		969.023		969.449		-0.014		0.022		0.026		0.000
