Место:		Площадка 1
Скважина:	Скважина
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	24-02-2021 20:17:55
Завершено:	НЕТ

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		-169.676		-169.790		1262.551		1290.519		0.000		0.000		0.000		0.000
1	5.500		0.001		-169.390		-169.790		1264.273		1290.519		0.000		0.000		0.000		0.000
2	11.000		0.001		-169.390		-169.871		1264.273		1291.094		0.000		0.000		0.000		0.000
3	16.500		0.001		-169.095		-169.871		1265.921		1291.094		0.000		0.000		0.000		0.000
4	22.000		0.001		-169.095		-169.958		1265.921		1291.688		0.000		0.000		0.000		0.000
5	27.500		0.001		-168.778		-169.958		1267.456		1291.688		0.000		0.000		0.000		0.000
6	33.000		0.001		-168.778		-169.958		1267.456		1291.688		0.000		0.000		0.000		0.000
7	38.500		0.001		-168.475		-170.054		1269.001		1292.182		0.000		0.000		0.000		0.000
8	44.000		0.001		-168.475		-170.054		1269.001		1292.182		0.000		0.000		0.000		0.000
9	49.500		0.001		-168.475		-170.054		1269.001		1292.182		0.000		0.000		0.000		0.000
10	55.000		0.001		-168.475		-170.054		1269.001		1292.182		0.000		0.000		0.000		0.000
11	60.500		0.001		-168.213		-170.100		1270.685		1292.376		0.000		0.000		0.000		0.000
12	66.000		0.001		-168.213		-170.100		1270.685		1292.376		0.000		0.000		0.000		0.000
13	71.500		0.001		-168.213		-170.100		1270.685		1292.376		0.000		0.000		0.000		0.000
14	77.000		0.001		-167.987		-170.083		1272.492		1292.298		0.000		0.000		0.000		0.000
15	82.500		0.001		-167.987		-170.083		1272.492		1292.298		0.000		0.000		0.000		0.000
16	88.000		0.001		-167.796		-170.078		1274.431		1292.293		0.000		0.000		0.000		0.000
17	93.500		0.001		-167.796		-170.078		1274.431		1292.293		0.000		0.000		0.000		0.000
18	99.000		0.001		-167.796		-170.078		1274.431		1292.293		0.000		0.000		0.000		0.000
19	104.500		0.001		-167.796		-170.078		1277.144		1292.293		0.000		0.000		0.000		0.000
20	110.000		0.001		-167.796		-170.127		1277.144		1292.609		0.000		0.000		0.000		0.000
