Место:		тест 1
Скважина:	Скважина33
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	16-05-2021 12:08:32
Завершено:	17-06-2021 14:57:29

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		1742.8		1742.1		1412.1		1415.2		-0.0		-0.1		0.1		0.0
1	0.5		0.0		1742.3		1742.0		1411.0		1415.2		-0.0		-0.1		0.1		0.0
2	1.0		0.0		1742.3		1742.0		1411.0		1415.2		-0.0		-0.1		0.1		0.0
3	1.5		0.0		1742.2		1741.9		1410.8		1415.4		-0.0		-0.1		0.1		0.0
4	2.0		0.0		1742.2		1741.9		1410.8		1415.4		-0.0		-0.1		0.1		0.0
5	2.5		0.0		1742.2		1742.0		1410.6		1416.2		-0.0		-0.1		0.1		0.0
6	3.0		0.0		1742.2		1742.0		1410.6		1416.2		-0.0		-0.1		0.1		0.0
7	3.5		0.0		1742.1		1742.3		1409.9		1417.5		-0.0		-0.1		0.1		0.0
8	4.0		0.0		1740.6		1742.3		1405.8		1417.5		-0.0		-0.1		0.1		0.0
9	4.5		0.0		1740.6		1742.3		1405.8		1417.5		-0.0		-0.1		0.1		0.0
10	5.0		0.0		1740.4		1742.4		1405.7		1418.5		-0.0		-0.1		0.1		0.0
11	5.5		0.0		1740.4		1742.4		1405.7		1418.5		-0.0		-0.0		0.0		0.0
12	6.0		0.0		1741.1		1742.4		1408.1		1418.9		0.0		-0.0		0.0		0.0
13	6.5		0.0		1742.1		1742.4		1411.7		1418.9		0.0		-0.0		0.0		0.0
14	7.0		0.0		1742.1		1742.3		1411.7		1418.8		0.0		-0.0		0.0		0.0
15	7.5		0.0		1742.6		1742.3		1414.3		1418.8		0.0		-0.0		0.0		0.0
16	8.0		0.0		1742.6		1742.3		1414.3		1418.8		0.0		0.0		0.0		0.0
