Место:		Площадка тестовая 1
Скважина:	Скважина
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	ДА
Измерение:	1
Создано:	20-02-2021 09:49:39
Завершено:	НЕТ

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-81.5		-80.0		898.8		890.8		0.0		0.0		0.0		0.0
1	5.5		0.0		-80.8		-80.0		895.4		890.3		0.0		0.0		0.6		0.0
2	11.0		0.0		-80.5		-80.0		894.0		889.9		0.0		0.0		1.2		0.0
3	16.5		0.0		-80.3		-80.0		893.0		889.9		0.0		0.0		1.7		0.0
4	22.0		0.0		-80.3		-80.0		893.0		889.9		0.0		0.0		2.1		0.0
5	27.5		0.0		-80.2		-80.0		892.8		889.7		0.0		0.0		2.5		0.0
6	33.0		0.0		-80.2		-80.0		892.8		889.7		0.0		0.0		2.9		0.0
7	38.5		0.0		-80.3		-80.1		893.1		889.6		0.0		0.0		3.2		0.0
8	44.0		0.0		-80.3		-80.1		893.1		889.6		0.0		0.0		3.5		0.0
9	49.5		0.0		-80.4		-80.1		893.3		889.6		0.0		0.0		3.7		0.0
10	55.0		0.0		-80.4		-80.1		893.3		889.6		0.0		0.0		4.0		0.0
11	60.5		0.0		-80.4		-80.1		893.3		889.6		0.0		0.0		4.1		0.0
12	66.0		0.0		-80.4		-80.1		893.3		889.6		0.0		0.0		4.3		0.0
13	71.5		0.0		-80.4		-80.1		893.3		889.5		0.0		0.0		4.4		0.0
14	77.0		0.0		-80.3		-80.1		893.1		889.5		0.0		0.0		4.5		0.0
15	82.5		0.0		-80.3		-80.1		893.1		889.5		0.0		0.0		4.5		0.0
16	88.0		0.0		-80.2		-80.1		893.0		889.5		0.0		0.0		4.6		0.0
17	93.5		0.0		-80.2		-80.1		893.0		889.5		0.0		0.0		4.6		0.0
18	99.0		0.0		-80.2		-80.1		893.0		889.3		0.0		0.0		4.7		0.0
19	104.5		0.0		-80.2		-80.1		893.0		889.3		0.0		0.0		4.7		0.0
20	110.0		0.0		-80.1		-84.5		893.1		583.6		0.0		0.0		4.7		0.0
