Место:		Площадка
Скважина:	Скважина1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	03-04-2022 07:28:20
Завершено:	НЕТ

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-867.5		-867.4		647.3		647.4		0.0		0.0		14.1		0.0
1	0.5		0.0		-870.0		-867.3		647.4		647.5		0.0		0.0		14.1		0.0
2	1.0		0.0		-890.0		-867.5		647.5		647.4		0.0		0.0		14.1		0.0
3	1.5		0.0		-900.0		-867.5		647.4		647.3		0.0		0.0		14.1		0.0
4	2.0		0.0		-910.0		-867.4		647.4		647.4		0.0		0.0		14.1		0.0
5	2.5		0.0		-920.0		-867.4		647.4		647.4		0.0		0.0		14.1		0.0
6	3.0		0.0		-930.0		-867.5		647.5		647.4		0.0		0.0		14.1		0.0
7	3.5		0.0		-940.0		-867.5		647.4		647.4		0.0		0.0		14.1		0.0
8	4.0		0.0		-950.0		-867.4		647.4		647.4		0.0		0.0		14.1		0.0
9	4.5		0.0		-960.0		-867.4		647.4		647.4		0.0		0.0		14.1		0.0
10	5.0		0.0		-970.0		-867.5		647.5		647.3		0.0		0.0		14.1		0.0
11	5.5		0.0		-980.0		-867.4		647.3		647.4		0.0		0.0		14.1		0.0
12	6.0		0.0		-990.0		-867.4		647.3		647.4		0.0		0.0		14.1		0.0
13	6.5		0.0		-1000.0		-867.5		647.4		647.4		0.0		0.0		14.1		0.0
14	7.0		0.0		-1010.0		-867.4		647.5		647.4		0.0		0.0		14.1		0.0
15	7.5		0.0		-1020.0		-867.4		647.4		647.4		0.0		0.0		14.1		0.0
16	8.0		0.0		-1030.0		-867.4		647.3		647.4		0.0		0.0		14.1		0.0
17	8.5		0.0		-1040.0		-867.5		647.4		647.3		0.0		0.0		14.1		0.0
18	9.0		0.0		-1050.0		-867.5		647.4		647.4		0.0		0.0		14.1		0.0
19	9.5		0.0		-1060.0		-867.4		647.4		647.4		0.0		0.0		14.1		0.0
20	10.0		0.0		-839.6		-867.4		644.6		647.4		0.0		0.0		14.1		0.0
