Место:		Уренгой
Скважина:	Скважина #1
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	НЕТ
Измерение:	4
Создано:	19-02-2021 18:11:25
Завершено:	НЕТ

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
1	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
2	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
3	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
4	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
5	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
6	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
7	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
8	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
9	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
10	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
11	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
12	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
13	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
14	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
15	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
16	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
17	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
18	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
19	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
20	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
