Место:		Площадка
Скважина:	Скважина
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	27-02-2021 13:55:20
Завершено:	27-02-2021 14:29:12

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
1	1.000		0.000		-1017.328		-1017.188		867.469		868.164		0.000		0.000		0.000		0.000
2	2.000		0.000		-1017.348		-1017.188		867.434		868.164		-0.000		-0.002		0.002		0.000
3	3.000		0.000		-1017.355		-1017.168		867.438		868.199		-0.001		-0.003		0.004		0.000
4	4.000		0.000		-1017.348		-1017.164		867.496		868.195		-0.001		-0.005		0.005		0.000
5	5.000		0.000		-1017.332		-1017.164		867.578		868.195		-0.002		-0.007		0.007		0.000
6	6.000		0.000		-1017.332		-1017.164		867.578		868.195		-0.002		-0.008		0.009		0.000
7	7.000		0.000		-1017.332		-1017.172		867.578		868.145		-0.002		-0.010		0.010		0.000
8	8.000		0.000		-1017.316		-1017.172		867.656		868.145		-0.003		-0.011		0.012		0.000
9	9.000		0.000		-1017.316		-1017.180		867.656		868.109		-0.003		-0.013		0.013		0.000
10	10.500		0.000		-1017.301		-1017.180		867.719		868.109		-0.004		-0.014		0.015		0.000
11	11.000		0.000		-1017.301		-1017.180		867.719		868.109		-0.004		-0.015		0.015		0.000
12	12.000		0.000		-1017.293		-1017.180		867.770		868.098		-0.004		-0.016		0.016		0.000
13	13.000		0.000		-1017.293		-1017.180		867.770		868.098		-0.004		-0.016		0.017		0.000
14	14.000		0.000		-1017.285		-1017.180		867.820		868.098		-0.005		-0.017		0.018		0.000
15	15.000		0.000		-1017.266		-1017.180		867.891		868.102		-0.005		-0.018		0.019		0.000
16	16.000		0.000		-1017.266		-1017.180		867.891		868.102		-0.005		-0.018		0.019		0.000
17	17.000		0.000		-1017.246		-1017.180		867.953		868.102		-0.005		-0.019		0.020		0.000
18	18.000		0.000		-1017.246		-1017.172		867.953		868.094		-0.005		-0.019		0.020		0.000
19	19.000		0.000		-1017.227		-1017.172		868.020		868.094		-0.006		-0.020		0.020		0.000
20	20.000		0.000		-1017.227		-1039.488		868.020		904.031		-0.006		-0.020		0.021		0.000
