Место:		Площадка тестовая 1
Скважина:	Скважина №1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	2
Создано:	20-02-2021 10:06:34
Завершено:	21-02-2021 09:14:37

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-75.8		-75.6		760.3		759.8		0.0		0.0		0.0		0.0
1	5.5		0.0		-75.8		-75.6		760.0		759.8		-0.0		0.0		0.0		0.0
2	11.0		0.0		-75.8		-75.5		760.0		759.8		-0.0		0.0		0.0		0.0
3	16.5		0.0		-75.7		-75.5		759.6		759.8		-0.0		0.0		0.0		0.0
4	22.0		0.0		-75.6		-75.5		759.4		759.8		-0.0		-0.0		0.0		0.0
5	27.5		0.0		-75.6		-75.5		759.4		759.9		-0.0		-0.0		0.0		0.0
6	33.0		0.0		-75.6		-75.5		759.5		759.9		-0.0		-0.0		0.0		0.0
7	38.5		0.0		-75.6		-75.5		759.6		759.9		-0.0		-0.0		0.0		0.0
8	44.0		0.0		-75.6		-75.5		759.6		759.9		-0.0		-0.0		0.0		0.0
9	49.5		0.0		-75.6		-75.5		759.6		759.9		-0.0		-0.0		0.0		0.0
10	55.0		0.0		-75.5		-75.5		759.7		759.9		-0.0		-0.0		0.0		0.0
11	60.5		0.0		-75.5		-75.4		759.7		760.1		-0.0		-0.0		0.0		0.0
12	66.0		0.0		-75.5		-75.4		759.7		760.1		-0.0		-0.0		0.0		0.0
13	71.5		0.0		-75.5		-75.4		759.7		760.4		-0.0		-0.0		0.1		0.0
14	77.0		0.0		-75.5		-75.4		759.7		760.4		-0.0		-0.1		0.1		0.0
15	82.5		0.0		-75.6		-75.4		759.7		760.4		-0.0		-0.1		0.1		0.0
16	88.0		0.0		-75.6		-75.4		759.7		760.4		-0.0		-0.1		0.1		0.0
17	93.5		0.0		-75.5		-75.4		759.6		760.5		-0.0		-0.1		0.1		0.0
18	99.0		0.0		-75.5		-75.4		759.6		760.3		-0.0		-0.1		0.1		0.0
19	104.5		0.0		-75.5		-75.4		759.6		760.3		-0.0		-0.1		0.1		0.0
20	110.0		0.0		-75.5		-75.4		759.6		759.9		-0.0		-0.1		0.1		0.0
