Место:		Площадка
Скважина:	Скважина
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	25-06-2021 05:19:05
Завершено:	НЕТ

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		275.1		284.6		440.4		479.2		0.0		0.0		0.0		0.0
1	0.5		0.0		275.5		284.7		442.3		479.6		0.0		0.0		0.0		0.0
2	1.0		0.0		277.8		284.8		452.4		480.1		0.0		0.0		0.0		0.0
3	1.5		0.0		278.7		284.9		456.3		480.8		0.0		0.0		0.0		0.0
4	2.0		0.0		279.6		284.9		460.2		480.8		0.0		0.0		0.0		0.0
5	2.5		0.0		280.4		284.9		463.4		480.8		0.0		0.0		0.0		0.0
6	3.0		0.0		281.0		285.0		465.7		481.4		0.0		0.0		0.0		0.0
7	3.5		0.0		281.0		285.0		465.7		481.4		0.0		0.0		0.0		0.0
8	4.0		0.0		281.5		285.0		467.3		481.9		0.0		0.0		0.0		0.0
9	4.5		0.0		281.9		285.0		468.7		481.9		0.0		0.0		0.0		0.0
10	5.0		0.0		281.9		285.0		468.7		481.9		0.0		0.0		0.0		0.0
11	5.5		0.0		281.9		285.0		468.7		481.9		0.0		0.0		0.0		0.0
12	6.0		0.0		282.3		285.1		470.0		482.3		0.0		0.0		0.0		0.0
13	6.5		0.0		282.3		285.1		470.0		482.3		0.0		0.0		0.0		0.0
14	7.0		0.0		282.8		285.1		471.7		482.7		0.0		0.0		0.0		0.0
15	7.5		0.0		282.8		285.1		471.7		482.7		0.0		0.0		0.0		0.0
16	8.0		0.0		283.5		285.1		474.1		482.7		0.0		0.0		0.0		0.0
17	8.5		0.0		283.5		285.2		474.1		483.1		0.0		0.0		0.0		0.0
18	9.0		0.0		283.5		285.2		474.1		483.1		0.0		0.0		0.0		0.0
19	9.5		0.0		284.0		285.3		476.3		483.5		0.0		0.0		0.0		0.0
20	10.0		0.0		284.3		285.3		477.6		483.5		0.0		0.0		0.0		0.0
