Место:		Сургут
Скважина:	Скважина 555
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	3
Создано:	16-05-2021 12:55:46
Завершено:	16-05-2021 13:45:57

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		1706.0		1704.4		1356.2		1355.0		0.0		0.0		0.0		0.0
1	0.5		0.0		1706.0		1704.4		1356.2		1355.0		0.0		0.0		0.0		0.0
2	1.0		0.0		1705.4		1704.4		1355.2		1355.0		0.0		0.0		0.0		0.0
3	1.5		0.0		1705.4		1704.4		1355.2		1355.3		0.0		0.0		0.0		0.0
4	2.0		0.0		1704.4		1704.4		1353.5		1355.3		0.0		0.0		0.0		0.0
5	2.5		0.0		1704.4		1704.4		1353.5		1355.3		0.0		0.0		0.0		0.0
6	3.0		0.0		1704.4		1703.0		1353.5		1354.1		0.0		-0.0		0.0		0.0
7	3.5		0.0		1703.0		1703.0		1351.2		1354.1		0.0		-0.0		0.0		0.0
8	4.0		0.0		1703.0		1703.0		1351.2		1354.1		0.0		-0.0		0.0		0.0
9	4.5		0.0		1703.0		1703.0		1351.2		1354.1		0.0		-0.0		0.0		0.0
10	5.0		0.0		1703.0		1699.5		1351.6		1350.1		0.0		-0.0		0.0		0.0
