Место:		Площадка 1
Скважина:	Скважина 1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	ДА
Измерение:	1
Создано:	24-02-2021 19:38:59
Завершено:	24-02-2021 20:33:51

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		-170.816		-171.270		1258.173		1263.232		0.000		0.000		0.000		0.000
1	5.500		0.001		-170.776		-171.249		1258.308		1263.369		0.006		-0.067		0.068		0.000
2	11.000		0.001		-170.776		-171.249		1258.308		1263.369		0.013		-0.135		0.136		0.000
3	16.500		0.001		-170.733		-171.249		1258.426		1263.369		0.019		-0.201		0.202		0.000
4	22.000		0.001		-170.733		-171.202		1258.426		1263.399		0.026		-0.267		0.268		0.000
5	30.000		0.000		-170.733		-171.202		1258.426		1263.399		0.035		-0.364		0.365		0.000
6	33.000		0.001		-170.735		-171.202		1258.723		1263.399		0.038		-0.398		0.399		0.000
7	38.500		0.001		-170.735		-171.190		1258.723		1263.466		0.044		-0.461		0.463		0.000
8	44.000		0.001		-170.735		-171.190		1258.723		1263.466		0.050		-0.524		0.526		0.000
9	49.500		0.001		-170.801		-171.190		1259.259		1263.466		0.056		-0.580		0.583		0.000
10	55.000		0.001		-170.801		-171.190		1259.259		1263.466		0.061		-0.636		0.639		0.000
11	60.500		0.001		-170.900		-171.224		1259.905		1263.611		0.065		-0.686		0.689		0.000
12	66.000		0.001		-170.900		-171.224		1259.905		1263.611		0.069		-0.735		0.738		0.000
13	71.500		0.001		-170.962		-171.224		1260.430		1263.611		0.073		-0.777		0.781		0.000
14	77.000		0.001		-170.962		-171.283		1260.430		1263.818		0.077		-0.823		0.826		0.000
15	82.500		0.001		-170.962		-171.283		1260.430		1263.818		0.081		-0.868		0.872		0.000
16	88.000		0.001		-170.962		-171.283		1260.430		1263.818		0.086		-0.913		0.917		0.000
17	93.500		0.001		-170.971		-171.283		1260.781		1263.818		0.090		-0.953		0.958		0.000
18	99.000		0.001		-170.971		-171.320		1260.781		1263.949		0.095		-0.996		1.000		0.000
19	104.500		0.001		-170.978		-171.309		1261.153		1263.897		0.099		-1.032		1.037		0.000
20	110.000		0.001		-171.032		-171.309		1261.657		1263.897		0.103		-1.062		1.067		0.000
