Место:		Сургут
Скважина:	Скважина Тест
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	16-05-2021 12:55:43
Завершено:	15-06-2021 19:29:18

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		1626.7		1656.2		1232.2		1218.6		-0.1		0.0		0.1		0.0
1	0.5		0.0		1626.2		1656.2		1231.3		1218.6		-0.1		0.1		0.1		0.0
2	1.0		0.0		1626.5		1653.2		1231.0		1211.6		-0.1		0.1		0.2		0.0
3	1.5		0.0		1626.5		1646.0		1230.9		1194.3		-0.1		0.2		0.2		0.0
4	2.0		0.0		1628.5		1639.4		1238.5		1177.6		-0.2		0.3		0.3		0.0
5	2.5		0.0		1629.0		1639.4		1241.4		1177.6		-0.2		0.3		0.4		0.0
6	3.0		0.0		1626.0		1637.1		1233.7		1170.0		-0.2		0.4		0.4		0.0
7	3.5		0.0		1611.3		1636.2		1192.0		1165.4		-0.2		0.4		0.5		0.0
8	4.0		0.0		1611.3		1635.4		1192.0		1161.0		-0.3		0.3		0.5		0.0
9	4.5		0.0		1589.7		1638.0		1126.8		1166.9		-0.4		0.3		0.4		0.0
10	5.0		0.0		1581.3		1638.0		1094.1		1166.9		0.0		0.0		0.0		0.0
