Место:		Сургут
Скважина:	Скважина33
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	3
Создано:	16-05-2021 12:08:40
Завершено:	18-05-2021 13:00:19

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		1736.6		0.0		1406.6		0.0		4.2		3.4		5.4		0.0
1	0.5		0.0		1736.2		0.0		1405.1		0.0		6.3		5.1		8.1		0.0
2	1.0		0.0		1736.2		0.0		1405.1		0.0		8.4		6.8		10.8		0.0
3	1.5		0.0		1736.1		0.0		1403.6		0.0		10.5		8.5		13.5		0.0
4	2.0		0.0		1736.1		0.0		1403.6		0.0		12.6		10.2		16.2		0.0
5	2.5		0.0		1736.1		0.0		1403.6		0.0		14.7		11.9		18.9		0.0
6	3.0		0.0		1736.4		0.0		1402.5		0.0		16.8		13.6		21.7		0.0
7	3.5		0.0		1736.4		0.0		1402.5		0.0		18.9		15.3		24.4		0.0
8	4.0		0.0		1736.8		0.0		1401.9		0.0		21.0		17.0		27.1		0.0
9	4.5		0.0		1736.8		0.0		1401.9		0.0		23.2		18.7		29.8		0.0
10	5.0		0.0		1737.2		0.0		1402.2		0.0		25.3		20.4		32.5		0.0
11	5.5		0.0		1737.2		0.0		1402.2		0.0		27.4		22.1		35.2		0.0
12	6.0		0.0		1737.2		0.0		1402.2		0.0		29.5		23.8		37.9		0.0
13	6.5		0.0		1737.7		0.0		1403.1		0.0		31.6		25.5		40.6		0.0
14	7.0		0.0		1737.7		0.0		1403.1		0.0		33.7		27.2		43.3		0.0
15	7.5		0.0		1737.7		0.0		1403.1		0.0		35.8		28.9		46.0		0.0
16	8.0		0.0		1738.1		0.0		1404.1		0.0		37.9		30.6		48.7		0.0
17	8.5		0.0		1738.1		0.0		1404.1		0.0		40.0		32.3		51.4		0.0
18	9.0		0.0		1738.4		0.0		1404.6		0.0		42.1		34.0		54.1		0.0
19	9.5		0.0		1738.4		0.0		1404.6		0.0		44.2		35.7		56.8		0.0
20	10.0		0.0		1738.4		0.0		1404.9		0.0		0.0		0.0		0.0		0.0
