Место:		Площадка тестовая 1
Скважина:	Скважина #3
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	21-02-2021 08:31:32
Завершено:	21-02-2021 08:33:43

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-74.6		-70.2		801.6		784.7		0.0		0.0		0.0		0.0
1	5.5		0.0		-73.4		-70.3		798.1		784.7		-0.0		0.2		0.2		0.0
2	11.0		0.0		-72.1		-70.3		794.3		784.8		-0.1		0.3		0.3		0.0
3	16.5		0.0		-72.1		-70.4		794.3		784.9		-0.1		0.4		0.4		0.0
4	22.0		0.0		-70.9		-70.4		790.5		785.1		-0.1		0.5		0.5		0.0
5	27.5		0.0		-69.8		-70.5		787.0		785.5		-0.1		0.5		0.5		0.0
6	33.0		0.0		-69.8		-70.5		787.0		785.5		-0.1		0.5		0.5		0.0
7	38.5		0.0		-68.9		-70.6		783.9		786.0		-0.1		0.5		0.5		0.0
8	44.0		0.0		-68.3		-70.6		782.0		786.0		-0.0		0.5		0.5		0.0
9	49.5		0.0		-68.1		-70.7		781.7		786.4		0.0		0.4		0.4		0.0
10	55.0		0.0		-68.1		-70.7		781.7		786.5		0.0		0.3		0.3		0.0
11	60.5		0.0		-68.6		-70.7		783.0		786.4		0.1		0.3		0.3		0.0
12	66.0		0.0		-68.6		-70.7		783.0		786.3		0.1		0.2		0.3		0.0
13	71.5		0.0		-68.7		-70.7		783.2		786.3		0.1		0.2		0.2		0.0
14	77.0		0.0		-68.9		-70.7		783.4		786.3		0.2		0.2		0.2		0.0
15	82.5		0.0		-69.0		-70.8		783.6		786.4		0.2		0.1		0.2		0.0
16	88.0		0.0		-69.0		-70.8		783.6		786.6		0.2		0.1		0.2		0.0
17	93.5		0.0		-69.2		-70.8		783.8		786.6		0.2		0.1		0.2		0.0
18	99.0		0.0		-69.4		-70.9		784.1		786.8		0.2		0.0		0.2		0.0
19	104.5		0.0		-69.5		-70.9		784.3		787.0		0.3		-0.0		0.3		0.0
20	110.0		0.0		-69.7		-70.9		784.4		787.1		0.3		-0.1		0.3		0.0
