Место:		Площадка 1
Скважина:	Скважина 1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	ДА
Измерение:	2
Создано:	24-02-2021 19:47:21
Завершено:	24-02-2021 20:34:09

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		-171.477		-172.142		1263.711		1264.229		0.000		0.000		0.000		0.000
1	5.500		0.001		-171.535		-172.164		1263.765		1264.041		0.008		-0.004		0.009		0.000
2	11.000		0.001		-171.535		-172.164		1263.765		1264.041		0.017		-0.007		0.018		0.000
3	16.500		0.001		-171.566		-172.191		1263.707		1263.972		0.025		-0.011		0.027		0.000
4	22.000		0.001		-171.566		-172.191		1263.707		1263.972		0.033		-0.014		0.036		0.000
5	30.000		0.000		-171.566		-172.191		1263.707		1263.972		0.046		-0.020		0.050		0.000
6	33.000		0.001		-171.562		-172.222		1263.541		1264.012		0.050		-0.023		0.055		0.000
7	38.500		0.001		-171.562		-172.222		1263.541		1264.012		0.059		-0.029		0.066		0.000
8	44.000		0.001		-171.562		-172.222		1263.541		1264.012		0.068		-0.036		0.077		0.000
9	49.500		0.001		-171.568		-172.233		1263.420		1263.992		0.077		-0.043		0.088		0.000
10	55.000		0.001		-171.568		-172.233		1263.420		1263.992		0.086		-0.051		0.100		0.000
11	60.500		0.001		-171.568		-172.233		1263.420		1263.992		0.095		-0.058		0.111		0.000
12	66.000		0.001		-171.610		-172.199		1263.430		1263.814		0.102		-0.064		0.121		0.000
13	71.500		0.001		-171.676		-172.199		1263.531		1263.814		0.109		-0.067		0.128		0.000
14	77.000		0.001		-171.676		-172.151		1263.531		1263.602		0.116		-0.068		0.134		0.000
15	82.500		0.001		-171.676		-172.151		1263.531		1263.602		0.122		-0.069		0.140		0.000
16	88.000		0.001		-171.676		-172.151		1263.531		1263.602		0.128		-0.070		0.146		0.000
17	93.500		0.001		-171.722		-172.129		1263.576		1263.507		0.134		-0.069		0.151		0.000
18	99.000		0.001		-171.729		-172.129		1263.483		1263.507		0.139		-0.070		0.156		0.000
19	104.500		0.001		-171.729		-172.129		1263.483		1263.507		0.144		-0.070		0.160		0.000
20	110.000		0.001		-171.729		-172.145		1263.483		1263.557		0.150		-0.071		0.166		0.000
