Место:		Площадка
Скважина:	Скважина
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	НЕТ
Измерение:	2
Создано:	27-02-2021 14:06:48
Завершено:	27-02-2021 14:07:34

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		-1035.297		-1035.582		899.051		899.508		0.000		0.000		0.000		0.000
1	1.000		0.000		-1035.207		-1035.582		898.816		899.508		0.001		-0.001		0.001		0.000
2	2.000		0.000		-1035.207		-1035.582		898.816		899.508		0.002		-0.003		0.003		0.000
3	3.000		0.000		-1035.207		-1035.555		898.816		899.504		0.003		-0.004		0.005		0.000
4	4.000		0.000		-1035.230		-1035.555		898.809		899.504		0.003		-0.006		0.007		0.000
5	5.000		0.000		-1035.230		-1035.555		898.809		899.504		0.004		-0.008		0.009		0.000
6	6.000		0.000		-1035.230		-1035.555		898.809		899.504		0.005		-0.009		0.011		0.000
7	7.000		0.000		-1035.270		-1035.547		898.852		899.488		0.006		-0.011		0.013		0.000
8	8.000		0.000		-1035.270		-1035.547		898.852		899.488		0.006		-0.013		0.014		0.000
9	9.000		0.000		-1035.270		-1035.590		898.852		899.496		0.007		-0.014		0.016		0.000
10	10.000		0.000		-1035.277		-1035.590		898.852		899.496		0.008		-0.016		0.018		0.000
11	11.000		0.000		-1035.277		-1035.590		898.852		899.496		0.009		-0.017		0.019		0.000
12	12.000		0.000		-1035.277		-1035.660		898.852		899.574		0.009		-0.019		0.021		0.000
13	13.000		0.000		-1035.273		-1035.660		898.852		899.574		0.010		-0.021		0.023		0.000
14	14.000		0.000		-1035.273		-1035.660		898.852		899.574		0.011		-0.022		0.025		0.000
15	15.000		0.000		-1035.305		-1035.715		898.922		899.664		0.012		-0.024		0.027		0.000
16	16.000		0.000		-1035.305		-1035.715		898.922		899.664		0.013		-0.026		0.029		0.000
17	17.000		0.000		-1035.379		-1035.715		899.055		899.664		0.014		-0.028		0.031		0.000
18	18.000		0.000		-1035.379		-1035.754		899.055		899.727		0.015		-0.029		0.033		0.000
19	19.000		0.000		-1035.449		-1035.754		899.195		899.727		0.016		-0.031		0.035		0.000
20	20.000		0.000		-1035.508		-1035.801		899.293		899.809		0.017		-0.032		0.036		0.000
