Место:		Площадка
Скважина:	Скважина1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	2
Создано:	27-02-2021 14:10:05
Завершено:	27-02-2021 14:10:36

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		-1097.441		-1096.145		982.926		981.457		0.000		0.000		0.000		0.000
1	1.000		0.000		-1097.418		-1096.145		983.156		981.457		-0.003		0.004		0.005		0.000
2	2.000		0.000		-1097.418		-1096.145		983.156		981.457		-0.006		0.008		0.010		0.000
3	3.000		0.000		-1097.418		-1096.070		983.156		981.383		-0.009		0.012		0.015		0.000
4	4.000		0.000		-1097.316		-1096.070		983.113		981.383		-0.013		0.016		0.020		0.000
5	5.000		0.000		-1096.914		-1096.070		982.555		981.383		-0.016		0.020		0.026		0.000
6	6.000		0.000		-1096.914		-1095.945		982.555		981.191		-0.018		0.023		0.029		0.000
7	7.000		0.000		-1096.234		-1095.945		981.520		981.191		-0.020		0.026		0.033		0.000
8	8.000		0.000		-1095.785		-1095.945		980.812		981.191		-0.021		0.027		0.034		0.000
9	9.000		0.000		-1095.785		-1095.848		980.812		980.953		-0.020		0.026		0.033		0.000
10	10.000		0.000		-1095.789		-1095.848		980.805		980.953		-0.020		0.026		0.033		0.000
11	11.000		0.000		-1095.789		-1095.848		980.805		980.953		-0.020		0.026		0.033		0.000
12	12.000		0.000		-1095.969		-1095.785		981.043		980.711		-0.020		0.025		0.032		0.000
13	13.000		0.000		-1095.969		-1095.785		981.043		980.711		-0.020		0.026		0.033		0.000
14	14.000		0.000		-1095.969		-1095.785		981.043		980.711		-0.021		0.027		0.034		0.000
15	15.000		0.000		-1096.113		-1095.766		981.230		980.500		-0.021		0.028		0.035		0.000
16	16.000		0.000		-1096.113		-1095.766		981.230		980.500		-0.022		0.029		0.037		0.000
17	17.000		0.000		-1096.113		-1095.766		981.230		980.500		-0.023		0.031		0.039		0.000
18	18.000		0.000		-1096.195		-1095.777		981.375		980.344		-0.024		0.033		0.041		0.000
19	19.000		0.000		-1096.195		-1095.777		981.375		980.344		-0.025		0.035		0.043		0.000
20	20.000		0.000		-1096.215		-1095.797		981.465		980.207		-0.026		0.038		0.046		0.000
