Место:		Сургут
Скважина:	Скважина33
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	2
Создано:	16-05-2021 12:08:38
Завершено:	18-05-2021 13:00:19

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		1742.5		1742.2		1415.9		1414.6		0.0		0.0		0.0		0.0
1	0.5		0.0		1742.6		1741.8		1417.1		1412.4		0.0		0.0		0.0		0.0
2	1.0		0.0		1742.7		1741.8		1417.5		1412.4		0.0		0.0		0.0		0.0
3	1.5		0.0		1742.7		1741.8		1417.5		1412.4		0.0		0.0		0.0		0.0
4	2.0		0.0		1742.7		1741.5		1417.6		1411.3		0.0		0.0		0.0		0.0
5	2.5		0.0		1742.7		1741.5		1417.6		1411.3		0.0		0.0		0.0		0.0
6	3.0		0.0		1742.7		1741.5		1417.7		1410.8		0.0		0.1		0.1		0.0
7	3.5		0.0		1742.7		1741.5		1417.7		1410.8		0.0		0.1		0.1		0.0
8	4.0		0.0		1742.7		1741.4		1417.7		1410.7		0.0		0.1		0.1		0.0
9	4.5		0.0		1742.7		1741.4		1417.7		1410.7		0.0		0.1		0.1		0.0
10	5.0		0.0		1742.8		1741.4		1417.7		1410.7		0.0		0.1		0.1		0.0
11	5.5		0.0		1742.8		1741.4		1417.7		1410.6		0.0		0.1		0.1		0.0
12	6.0		0.0		1742.8		1741.4		1417.7		1410.6		0.0		0.1		0.1		0.0
13	6.5		0.0		1742.8		1741.4		1417.7		1410.6		0.0		0.1		0.1		0.0
14	7.0		0.0		1742.8		1741.4		1417.8		1410.6		0.0		0.1		0.1		0.0
15	7.5		0.0		1742.8		1741.4		1417.8		1410.6		0.0		0.1		0.1		0.0
16	8.0		0.0		1742.8		1741.4		1417.8		1410.6		0.0		0.1		0.1		0.0
17	8.5		0.0		1742.8		1741.4		1417.9		1410.6		0.0		0.1		0.1		0.0
18	9.0		0.0		1742.8		1741.4		1417.9		1410.6		0.0		0.2		0.2		0.0
19	9.5		0.0		1742.9		1741.4		1417.9		1410.6		0.0		0.2		0.2		0.0
20	10.0		0.0		1742.9		1741.4		1417.9		1410.6		0.0		0.0		0.0		0.0
